,id_pelicula,titulo,genero,duracion_minutos,calificacion,año_lanzamiento,plataforma,tipo,visualizaciones
0,1,Tren del Norte,Drama,144,3,1997,Vix+,Novelas,745754
1,2,Enemigo del Amanecer,Comedia,169,1,2022,HBO Max,Películas,70466
2,3,Tren Invisible de Tierra,Comedia,173,2,2011,Disney+,Documentales,770461
3,4,Enemigo Protegido,Terror,158,1,2016,Disney+,Películas,313225
4,5,Abismo Poderoso del Norte,Drama,155,4,2008,Prime Video,Películas,7019
5,6,Cuento Perdido,Terror,133,1,1990,Paramount+,Realities,441873
6,7,Paraiso del más allá,Thriller,91,3,1997,HBO Max,Documentales,757501
7,8,Universo Poderoso del más allá,Thriller,113,3,2003,Paramount+,Realities,14936
8,9,Abismo Misterioso,Terror,142,4,2017,Vix+,Realities,323010
9,10,Reino del Universo,Aventura,160,3,2013,Paramount+,Realities,145136
10,11,Destino del Amanecer,Acción,144,4,2006,Vix+,Documentales,968521
11,12,Paraiso Dulce,Acción,129,2,2005,Vix+,Novelas,967060
12,13,Planeta Misterioso,Comedia,126,4,2016,Disney+,Series,53296
13,14,Tren Eterno,Romance,129,1,1995,Netflix,Películas,380792
14,15,Enemigo Cercano del Norte,Comedia,176,4,2025,Disney+,Películas,179492
15,16,Bosque Lejano de la Luna,Thriller,148,4,2012,Vix+,Realities,124998
16,17,Universo de Fuego,Ciencia Ficción,179,4,2022,HBO Max,Series,566115
17,18,Tren Dulce de Aire,Comedia,109,1,2019,HBO Max,Novelas,320701
18,19,Juego Oculto del Pasado,Terror,118,3,2020,Apple TV+,Novelas,117245
19,20,Tren Misterioso,Terror,122,3,1998,Apple TV+,Series,303839
20,21,Reino de Aire,Acción,135,1,2006,HBO Max,Películas,698852
21,22,Portal Perdido del Norte,Comedia,150,2,1991,HBO Max,Novelas,167035
22,23,Planeta en el Tiempo,Acción,172,3,2003,Netflix,Documentales,63321
23,24,Enemigo Lejano en el Tiempo,Acción,168,1,2025,Disney+,Documentales,389317
24,25,Reino Oculto,Aventura,164,2,2000,Netflix,Series,671772
25,26,Paraiso del Amanecer,Romance,150,1,2016,Netflix,Novelas,962257
26,27,Joven de Aire,Terror,142,2,2003,Paramount+,Novelas,679883
27,28,Detective Olvidado,Aventura,155,1,1990,Vix+,Series,594313
28,29,Aliado del Sol,Thriller,134,4,2006,Netflix,Series,404711
29,30,Horizonte Misterioso del Horror,Terror,104,2,1999,Apple TV+,Realities,382945
30,31,Emperador Lejano,Comedia,129,1,2021,HBO Max,Películas,692100
31,32,Imperio de Cristal,Comedia,128,4,2012,Vix+,Películas,985201
32,33,Enemigo de Impacto,Thriller,157,2,2013,Prime Video,Realities,43260
33,34,Bosque de Cristal,Drama,160,3,2024,Paramount+,Películas,318473
34,35,Portal Prohibido,Acción,131,3,2009,Vix+,Documentales,304048
35,36,Horizonte del Futuro,Drama,166,4,1996,Netflix,Realities,6776
36,37,Enemigo Cercano,Acción,146,1,2022,HBO Max,Novelas,224961
37,38,Tren Misterioso,Ciencia Ficción,126,3,2023,Netflix,Series,200424
38,39,Destino Cercano,Romance,174,3,2006,HBO Max,Novelas,390036
39,40,Portal del Horror,Ciencia Ficción,122,3,2013,Paramount+,Películas,777992
40,41,Juego de Agua,Terror,141,3,1994,Apple TV+,Novelas,708512
41,42,Horizonte Cercano de Aire,Drama,153,3,2006,Netflix,Documentales,640370
42,43,Portal del Futuro,Acción,145,1,2007,Apple TV+,Novelas,650663
43,44,Destino del Universo,Ciencia Ficción,177,1,2010,Vix+,Series,456078
44,45,Imperio Oscuro del Universo,Ciencia Ficción,172,4,2011,HBO Max,Realities,948049
45,46,Aliado Amado,Comedia,104,4,2022,HBO Max,Documentales,651633
46,47,Buque Olvidado,Ciencia Ficción,128,4,2006,HBO Max,Realities,664719
47,48,Buque Amado,Aventura,121,2,2017,Vix+,Realities,48841
48,49,Cuento Prohibido,Terror,177,2,1991,HBO Max,Realities,111116
49,50,Reino Poderoso,Terror,165,3,1992,Apple TV+,Documentales,692887
50,51,Emperador Cercano,Aventura,107,2,2004,Prime Video,Novelas,158069
51,52,Paraiso Cercano de las Sombras,Romance,171,1,1993,Disney+,Novelas,771956
52,53,Detective Amado de Aire,Romance,143,4,2016,Paramount+,Realities,687722
53,54,Abismo de la Luz,Terror,135,3,2010,Netflix,Series,601840
54,55,Universo Perdido del Universo,Aventura,122,3,2002,Disney+,Realities,559813
55,56,Niño Lejano de la Luna,Romance,119,3,1991,Prime Video,Películas,586095
56,57,Cuento Milenario,Drama,162,1,2011,Disney+,Documentales,31041
57,58,Hombre Milenario,Aventura,125,4,2021,Disney+,Películas,544972
58,59,Emperador de Fuego,Drama,146,2,2019,Prime Video,Películas,477531
59,60,Destino Protegido,Romance,107,3,2024,HBO Max,Series,542006
60,61,Buque Oculto del Sol,Terror,107,3,1992,Apple TV+,Documentales,506174
61,62,Juego Cercano,Drama,146,4,2021,Apple TV+,Realities,160271
62,63,Tren del Futuro,Terror,174,1,2011,Netflix,Realities,624836
63,64,Abismo Oscuro,Ciencia Ficción,101,4,1995,Paramount+,Películas,197513
64,65,Enemigo Oscuro del Universo,Ciencia Ficción,170,4,1996,Paramount+,Documentales,684041
65,66,Destino Olvidado,Ciencia Ficción,145,1,2019,Netflix,Realities,324029
66,67,Planeta Amado del Futuro,Terror,157,1,1996,Disney+,Series,807679
67,68,Detective de Cristal,Terror,112,3,2020,Prime Video,Novelas,638991
68,69,Emperador de la Luz,Acción,92,1,2023,Prime Video,Series,609391
69,70,Paraiso Cercano,Romance,99,1,1996,Disney+,Realities,66595
70,71,Portal Invisible,Terror,111,1,2016,Vix+,Películas,749817
71,72,Hombre Lejano en el Tiempo,Romance,153,2,2007,Vix+,Películas,757260
72,73,Joven Lejano del Universo,Terror,96,3,2007,Vix+,Novelas,813544
73,74,Bosque Misterioso de la Luz,Romance,148,2,2014,Apple TV+,Documentales,197010
74,75,Destino Eterno del Futuro,Drama,172,4,2003,Apple TV+,Novelas,314121
75,76,Planeta de las Sombras,Drama,171,4,2018,Prime Video,Novelas,322645
76,77,Enemigo del Pasado,Drama,141,1,2012,Paramount+,Películas,198909
77,78,Equipo Lejano del Norte,Aventura,134,3,2002,Paramount+,Películas,577784
78,79,Detective Protegido del Universo,Acción,93,3,2016,Disney+,Series,308256
79,80,Horizonte del Norte,Ciencia Ficción,147,1,1997,Paramount+,Películas,535265
80,81,Niño Olvidado,Ciencia Ficción,114,3,1999,Netflix,Novelas,805386
81,82,Mago Cercano,Ciencia Ficción,107,2,2019,Netflix,Películas,142093
82,83,Planeta Invisible de Agua,Aventura,94,3,2011,HBO Max,Películas,886818
83,84,Aliado Oscuro de Agua,Thriller,125,3,2008,HBO Max,Películas,724636
84,85,Juego Prohibido del más allá,Romance,103,4,1999,Netflix,Documentales,47233
85,86,Mago del Norte,Drama,109,1,2016,Prime Video,Series,286813
86,87,Horizonte Misterioso de las Sombras,Terror,135,2,2002,Paramount+,Series,916227
87,88,Oeste Poderoso,Thriller,128,3,2013,HBO Max,Novelas,750007
88,89,Mago del Sol,Drama,129,4,2013,Netflix,Series,86438
89,90,Mago del Futuro,Acción,99,3,2003,Disney+,Realities,728967
90,91,Niño Milenario,Ciencia Ficción,114,2,2002,Disney+,Películas,104482
