cliente_id,genero,rango_edad,distrito,tipo_cliente,monto_promedio_mensual,cantidad_transacciones_mes,tipo_transaccion_frecuente,frecuencia_uso_app,sesiones_mes,dias_desde_ultimo_login,interaccion_promociones,promociones_abiertas,cantidad_quejas,ultima_queja_dias,productos_activos,uso_biometria,notificaciones_activas,uso_pago_servicios,uso_transferencias,abandono
C0001,Masculino,18-25,Santa Tecla,Plata,242,12,PagoServicios,8,44,139,Ninguna,8,0,309,1,Si,No,Si,No,Si
C0002,Femenino,18-25,San Miguel,Oro,2139,49,Transferencias,12,14,86,Alta,5,0,310,3,Si,No,Si,No,No
C0003,Masculino,60+,Santa Tecla,Oro,4627,6,Mixto,8,37,49,Alta,4,5,41,2,Si,No,No,No,No
C0004,Femenino,26-35,Mejicanos,Plata,786,69,Mixto,8,44,165,Media,2,0,237,4,No,Si,No,Si,No
C0005,Masculino,18-25,Mejicanos,Plata,167,59,PagoServicios,9,46,80,Ninguna,2,1,127,6,No,No,No,No,Si
C0006,Masculino,26-35,Usulutan,Plata,873,50,PagoPrestamos,20,10,160,Ninguna,7,1,271,3,Si,Si,No,No,Si
C0007,Masculino,36-45,Apopa,Plata,103,14,Mixto,10,47,67,Media,10,4,260,5,Si,Si,No,Si,Si
C0008,Masculino,60+,Mejicanos,Plata,214,73,Transferencias,3,20,61,Media,7,0,36,5,Si,Si,No,Si,No
C0009,Femenino,60+,Ahuachapan,Plata,316,48,PagoPrestamos,29,49,176,Baja,8,1,232,1,Si,Si,Si,No,Si
C0010,Masculino,60+,Usulutan,Plata,325,9,Transferencias,28,46,161,Media,5,0,37,5,Si,No,No,Si,No
C0011,Masculino,60+,Ahuachapan,Plata,903,56,Recargas,14,27,48,Alta,6,0,240,6,Si,Si,Si,No,No
C0012,Femenino,18-25,Soyapango,Plata,649,32,Transferencias,15,28,46,Ninguna,8,2,51,1,Si,Si,Si,Si,No
C0013,Femenino,46-60,Sonsonate,Plata,510,59,Recargas,14,11,97,Ninguna,8,0,339,6,No,Si,Si,No,Si
C0014,Masculino,18-25,Ahuachapan,Oro,4064,68,PagoServicios,2,4,12,Ninguna,8,4,42,2,Si,Si,Si,No,Si
C0015,Masculino,60+,Soyapango,Plata,140,27,Mixto,23,27,168,Baja,5,4,123,3,No,Si,No,No,No
C0016,Femenino,18-25,San Salvador,Plata,676,45,Transferencias,29,35,54,Baja,3,4,190,3,Si,No,No,Si,Si
C0017,Femenino,18-25,San Miguel,Plata,209,44,PagoServicios,22,10,69,Media,10,2,136,5,No,No,Si,Si,No
C0018,Femenino,36-45,San Salvador,Plata,889,55,TarjetaCredito,1,17,41,Ninguna,1,5,39,6,Si,Si,No,Si,Si
C0019,Femenino,26-35,San Salvador,Plata,915,14,Recargas,25,23,53,Media,8,5,209,5,Si,Si,Si,Si,No
C0020,Femenino,18-25,San Miguel,Oro,4205,14,PagoPrestamos,28,43,63,Media,0,2,241,2,Si,No,No,No,No
C0021,Masculino,26-35,San Salvador,Oro,2345,69,Recargas,1,5,71,Ninguna,1,2,134,2,No,Si,Si,No,Si
C0022,Femenino,36-45,Apopa,Oro,1474,56,Transferencias,17,37,48,Alta,8,2,352,6,Si,No,No,Si,No
