registro_id,campanas_marketing,estacionalidad,tasa_interes_ofertada,indice_competencia,indice_macroeconomico,depositos_historicos_promedio,nuevos_clientes_mes,usuarios_activos_app,ingresos_mensuales_depositos
R0001,1,Mayo,2.07,4.7,76.5,482487,362,25846,62899.76
R0002,17,Junio,3.72,1.5,78.1,304105,2784,46985,78979.9
R0003,5,Enero,7.39,8.0,122.7,207968,622,1432,45887.04
R0004,14,Febrero,7.39,1.8,78.5,424225,223,20123,68775.9
R0005,18,Agosto,3.22,8.5,116.1,190073,4323,32651,76252.14
R0006,19,Noviembre,4.93,8.3,88.9,218791,4250,29467,82648.38
R0007,20,Noviembre,5.38,8.5,101.2,229936,3118,34427,70065.98
R0008,20,Marzo,6.22,1.7,99.2,147304,1443,22948,57642.72
R0009,17,Julio,7.25,7.5,93.3,418283,2803,2068,77850.04
R0010,18,Febrero,6.91,4.3,123.8,130129,3373,35864,80145.52
R0011,1,Noviembre,3.37,5.5,115.9,387642,1961,36662,76997.96
R0012,5,Marzo,7.95,5.0,115.1,33136,133,9829,35011.58
R0013,6,Enero,3.17,4.2,86.3,237681,3493,1023,58666.38
R0014,19,Febrero,4.82,7.4,75.0,480537,120,36114,68667.16
R0015,2,Septiembre,6.01,4.6,129.1,147646,3920,3164,71911.88
R0016,10,Julio,3.76,6.8,128.2,473407,3482,5210,84542.56
R0017,11,Noviembre,3.03,1.7,122.7,39967,4299,26376,71046.16
R0018,9,Marzo,7.44,8.0,87.5,448134,3238,25149,86913.42
R0019,17,Junio,4.86,6.7,118.1,212504,3590,5066,66948.12
R0020,14,Noviembre,1.63,5.0,114.3,387558,3745,20910,85915.64
R0021,0,Marzo,4.89,8.8,100.9,82022,2864,33776,51072.56
R0022,17,Diciembre,3.9,9.0,90.4,152475,4197,16940,65004.0
R0023,10,Mayo,4.09,9.4,74.8,113334,4188,14074,54331.92
R0024,6,Mayo,5.17,1.8,89.0,188857,4592,36237,80127.66
R0025,17,Marzo,6.61,5.4,113.8,417347,281,17833,71478.66
R0026,15,Junio,4.07,3.0,100.1,76115,98,40400,44961.2
R0027,15,Junio,6.02,2.1,73.1,461751,3824,24713,98726.98
R0028,10,Junio,2.91,5.0,118.7,110909,1530,26059,43435.42
R0029,13,Julio,4.75,8.5,80.5,303092,3133,25151,68499.66
R0030,9,Febrero,7.4,5.5,106.3,38789,3167,4381,58829.42
R0031,12,Mayo,2.2,6.2,127.8,180233,2037,43391,63984.94
R0032,8,Agosto,5.16,4.1,126.9,248805,4154,38680,87891.4
R0033,10,Enero,2.68,1.2,109.6,394702,1130,32281,73703.46
R0034,1,Agosto,7.99,2.3,122.2,477419,1859,40170,88328.52
R0035,14,Septiembre,7.35,9.0,116.5,161367,4802,1913,76562.26
R0036,12,Abril,5.97,1.6,85.2,98091,3458,24437,67654.38
R0037,1,Octubre,1.58,7.1,81.9,151269,4348,11874,62102.72
R0038,6,Mayo,4.75,8.9,83.4,286724,804,7765,47780.42
R0039,19,Septiembre,5.12,8.3,101.2,493463,605,42647,78839.14
R0040,13,Agosto,2.22,6.1,115.7,238595,4287,24361,75071.9
R0041,15,Marzo,2.76,2.9,84.5,29690,2052,14642,36214.8
R0042,12,Enero,1.57,6.9,102.8,31937,2069,48891,49243.26
R0043,9,Marzo,3.48,3.5,108.6,180296,1786,34783,53667.58
R0044,11,Marzo,4.53,4.7,100.6,492373,3610,26603,100118.74
R0045,6,Julio,2.0,9.1,122.1,160358,1190,32171,42131.94
R0046,4,Febrero,4.49,8.8,103.1,19134,3695,35135,57708.22
R0047,9,Junio,2.89,9.4,76.3,445002,827,39851,64521.46
R0048,2,Noviembre,2.84,4.5,95.1,469450,3942,10212,81116.6
R0049,5,Febrero,3.65,1.9,83.1,235551,1695,44339,63797.78
R0050,1,Enero,2.49,5.2,75.4,360407,387,24523,51625.46
R0051,6,Abril,3.03,4.9,110.3,56872,128,20115,28731.26
R0052,12,Junio,6.61,8.3,73.5,43870,953,17362,33969.2
R0053,7,Marzo,5.12,1.0,123.1,479059,4499,18253,106725.62
R0054,17,Junio,3.91,2.2,95.0,27417,4986,19961,69949.66
R0055,10,Diciembre,6.97,8.2,100.4,11519,2459,6235,45019.02
R0056,5,Octubre,3.62,8.7,114.0,400896,4424,14023,88564.58
R0057,20,Noviembre,1.96,2.8,91.5,417906,3989,19566,92819.28
R0058,17,Marzo,4.02,3.3,71.9,489068,1371,13627,72973.54
R0059,5,Febrero,2.39,7.4,76.1,73572,652,24665,23935.26
R0060,8,Junio,2.35,4.7,107.3,282325,4586,8823,81500.9
R0061,3,Junio,3.36,8.2,122.0,354953,2576,29803,72492.14
R0062,0,Febrero,6.95,6.6,125.9,241181,3230,24512,73439.08
R0063,4,Julio,1.5,2.9,124.9,433453,3467,9496,78292.04
R0064,5,Septiembre,3.23,2.5,123.0,444145,2553,5254,72995.8
R0065,3,Octubre,4.06,6.1,108.3,295001,1590,21337,59607.18
R0066,19,Septiembre,6.6,4.0,71.4,86161,2574,19670,54059.88
R0067,13,Abril,4.73,4.8,122.0,429763,1311,12151,67333.34
R0068,17,Abril,7.33,1.6,104.7,109520,3332,38312,77910.2
R0069,17,Junio,1.98,8.5,83.0,240329,400,36057,45169.42
R0070,0,Abril,5.89,2.4,108.6,61700,465,27986,41746.8
R0071,19,Julio,3.67,2.6,109.5,234728,901,6721,46390.54
R0072,6,Marzo,5.77,6.8,116.9,356724,4831,20789,95552.62
R0073,16,Julio,6.09,3.6,120.7,289713,4384,44307,102473.14
R0074,2,Enero,7.29,6.4,78.6,407877,4939,44506,108907.96
R0075,3,Agosto,7.42,3.2,117.9,299001,3977,2930,83718.08
R0076,9,Agosto,3.93,7.7,120.0,410343,4659,39436,100812.24
R0077,6,Marzo,1.76,1.5,75.8,430597,3101,28615,78457.26
R0078,3,Noviembre,5.52,3.1,93.0,81196,4199,45540,70054.68
R0079,15,Septiembre,6.41,8.9,117.7,270849,2796,21663,78623.82
R0080,20,Julio,6.61,9.1,108.9,150204,2817,45308,74618.72
R0081,5,Abril,2.16,7.4,73.2,280413,1227,25183,44208.94
R0082,4,Marzo,6.75,2.5,111.2,400255,1514,37579,79230.1
R0083,16,Noviembre,2.69,9.8,100.0,12747,3905,11208,49137.16
R0084,11,Noviembre,4.78,4.9,74.0,401399,3919,26972,88578.52
R0085,1,Noviembre,4.29,4.7,75.3,181606,3682,31398,62358.88
R0086,3,Enero,6.14,4.2,89.2,134945,4541,46543,84861.5
R0087,15,Diciembre,6.5,6.3,90.5,132453,317,13101,36037.54
R0088,20,Agosto,2.82,7.1,98.1,345207,166,23818,50015.96
R0089,8,Junio,5.04,7.1,90.8,426827,434,8739,61385.86
