store_id,year,month,month_index,is_holiday_month,ad_spend,foot_traffic,avg_price,staff_count,store_size_sqft,promo_days,competitors_within_3km,inventory_fill_rate,returns_rate,local_income_index,parking_spaces,store_age_years,monthly_sales
1,2023,1,1,0,,3175,28.26,41,29476,4,1,0.93,0.0422,98.3,263,11,2982.2
2,2023,1,1,0,,3717,19.86,31,21933,4,3,0.952,0.0415,93.7,171,5,1867.48
3,2023,1,1,0,,3747,17.52,44,36259,4,1,0.944,0.0427,97.3,285,8,2141.46
4,2023,1,1,0,,5098,25.16,33,21798,6,2,0.965,0.0398,111.4,174,9,3840.05
5,2023,1,1,0,,6612,21.03,51,45448,2,2,0.96,0.042,114.3,389,9,4233.7
6,2023,1,1,0,23019.76,1000000,23.5,41,31415,2,3,0.945,0.0254,93.5,251,1,4517.63
7,2023,1,1,0,7121.5,3426,17.7,28,20125,4,1,0.921,0.0365,96.3,179,9,1547.81
8,2023,1,1,0,8089.9,3552,22.11,40,31843,3,6,0.923,0.0343,103.6,264,2,2066.45
9,2023,1,1,0,26332.31,5913,18.51,42,32324,4,2,0.938,0.0403,100.2,251,5,3949.88
10,2023,1,1,0,9705.63,3558,20.85,34,29510,2,5,0.973,0.0427,113.9,249,9,2146.56
11,2023,1,1,0,15112.61,3982,25.28,40,28072,4,2,0.923,0.0326,103.1,231,8,3250.8
12,2023,1,1,0,8867.26,4142,21.95,47,39203,2,3,0.964,0.0349,102.1,325,9,4505.92
13,2023,1,1,0,12377.17,3505,19.36,40,29344,2,5,0.942,0.0293,96.9,239,5,2610.24
14,2023,1,1,0,17381,4178,28.02,41,30107,5,0,0.93,0.041,126.3,244,3,4153.23
15,2023,1,1,0,12235.18,3645,18.97,25,15145,2,3,0.928,0.0306,100.8,131,2,2323.96
16,2023,1,1,0,14662.21,3513,16.27,35,23502,2,3,0.957,0.0288,106.7,202,13,2672.15
17,2023,1,1,0,8842.79,3465,22.16,39,29653,1,2,0.93,0.0363,103.6,251,9,2441.5
18,2023,1,1,0,11686.97,3499,26.28,38,28051,2,3,0.938,0.0422,91.4,239,17,2358.17
19,2023,1,1,0,16763.16,4312,21.92,41,28971,2,2,0.93,0.0378,111.3,243,3,3364.44
20,2023,1,1,0,13920.53,4353,22.21,44,34465,3,3,0.949,0.0388,106.5,288,21,2978.77
21,2023,1,1,0,9873.6,3811,23.04,33,24435,3,5,0.986,0.0419,108.6,202,10,2010.88
